sourceAccount,currency,amountInCents,desinationAccount,batchID,transactionID
31,USD,417303,35,3,1
39,USD,882312,25,3,2
13,USD,35692,37,3,3
13,USD,105907,15,3,4
26,USD,154763,15,3,5
20,USD,590580,25,3,6
28,USD,101508,36,3,7
12,USD,344718,7,3,8
6,USD,868194,21,3,9
12,USD,424085,10,3,10
12,USD,545671,14,3,11
30,USD,170922,36,3,12
22,USD,586351,25,3,13
5,USD,401572,4,3,14
40,USD,86376,36,3,15
35,USD,142462,3,3,16
37,USD,668170,20,3,17
6,USD,801241,15,3,18
1,USD,493457,1,3,19
34,USD,318187,11,3,20
20,USD,135489,22,3,21
17,USD,693470,5,3,22
17,USD,223506,23,3,23
10,USD,772955,36,3,24
30,USD,534219,32,3,25
16,USD,361691,6,3,26
7,USD,751556,33,3,27
14,USD,740991,29,3,28
37,USD,231122,8,3,29
24,USD,97673,10,3,30
27,USD,273934,6,3,31
7,USD,612261,21,3,32
6,USD,880454,18,3,33
39,USD,865954,32,3,34
8,USD,109878,38,3,35
4,USD,327992,5,3,36
35,USD,79270,13,3,37
11,USD,613589,3,3,38
36,USD,359256,36,3,39
33,USD,84498,2,3,40
18,USD,128008,10,3,41
